t_s,T_true,T_meas,T_filt,u_raw,u_final,state
1621,21.735511293125143,21.820101629714795,22.262170786383663,0,0,0
1622,21.728040270538891,22.132774035440526,22.250407445388834,0,0,0
1623,21.720584189997812,22.202531163892292,22.246055056161875,0,0,0
1624,21.713143021617817,21.769925935507441,22.202770590647837,0,0,0
1625,21.705716735574583,21.825981419894394,22.168517029670252,0,0,0
1626,21.698305302103435,21.883998010752713,22.142651664314112,0,0,0
1627,21.690908691499228,22.337069253259219,22.16032599058185,0,0,0
1628,21.683526874116229,22.052654984660425,22.150537717316265,0,0,0
1629,21.676159820367996,22.125896348511443,22.148297592879462,0,0,0
1630,21.668807500727262,17.054319410073642,21.685208667169842,0,0,0
1631,21.661469885725808,21.889597819539201,21.70378949920342,0,0,0
1632,21.654146945954356,21.91695943291322,21.723168584086128,0,0,0
1633,21.646838652062446,21.94010601444019,21.74289016866377,0,0,0
1634,21.639544974758319,22.110140138769847,21.776276529582503,0,0,0
1635,21.632265884808803,21.844851951677178,21.782510658863838,0,0,0
1636,21.625001353039185,21.900424207215476,21.793230072350351,0,0,0
1637,21.617751350333105,21.767852401744392,21.790923011386173,0,0,0
1638,21.610515847632438,22.124307852458458,21.821230724210928,0,0,0
1639,21.603294815937172,22.17147403740751,21.853071025410618,0,0,0
1640,21.596088226305298,22.075143504055159,21.873259432560122,0,0,0
1641,21.588896049852689,22.327162727393624,21.914523368454077,0,0,0
1642,21.581718257752982,21.764222887592794,21.900859688375778,0,0,0
1643,21.574554821237477,22.081875178358015,21.917315642010529,0,0,0
1644,21.567405711595001,21.879495932912768,21.913877486638004,0,0,0
1645,21.560270900171812,22.290062089301543,21.948076086880143,0,0,0
1646,21.553150358371468,21.883974699892825,21.942248688063113,0,0,0
1647,21.546044057654726,21.98335502913174,21.945985628160262,0,0,0
1648,21.538951969539415,21.701565561874496,21.923765622134283,0,0,0
1649,21.531874065600338,21.583496073113093,21.892832026768719,0,0,0
1650,21.524810317469136,22.083183069863413,21.910136667050054,0,0,0
1651,21.517760696834198,22.080746645077721,21.925646665052568,0,0,0
1652,21.51072517544053,21.576728966755017,21.893926874298245,0,0,0
1653,21.50370372508965,21.933311147233571,21.89750726274691,0,0,0
1654,21.496696317639472,17.14153851397192,21.465146467403727,1,1,0
1655,21.524702925004192,21.512412864114843,21.469443412559283,1,1,0
